size 	 mergesort 	 quicksort 	 mergeImproved 
20	15	3	8
40	33	8	15
60	50	12	21
80	75	14	29
100	101	20	36
120	132	24	43
140	167	33	56
160	205	36	63
180	247	48	71
200	292	48	79
220	340	52	87
240	390	58	95
260	445	62	113
280	482	68	113
300	535	73	122
320	593	72	128
340	664	80	136
360	699	78	138
380	770	89	145
400	848	94	154
420	880	92	155
440	924	98	162
460	953	96	160
480	1022	113	170
500	1101	110	180
520	1124	110	186
540	1204	117	194
560	1228	107	192
580	1320	117	191
600	1341	114	199
620	1370	122	195
640	1459	121	204
660	1491	120	200
680	1570	124	206
700	1606	117	205
720	1638	128	203
740	1662	132	202
760	1751	135	210
780	1716	122	208
800	1741	126	204
820	1757	121	204
840	1886	117	203
860	1945	121	202
880	1981	122	208
900	2004	127	208
920	2022	126	205
940	2044	130	206
960	2062	127	203
980	2078	128	203
1000	2156	125	207
